DataName,Data 2025-03-15 17-10-51_002,FrameRate,120,StartTime,2025.03.15 20:11:56:517,FrameCount,557,LengthUnits,mm,CoordinateSpace,World

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,RigidBodyMarker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
502,4.183333,-0.034518,0.998538,0.041595,-0.000521,333.411163,1720.953491,-281.884460,-0.033018,0.577324,0.029696,0.579030,-15.770215,-14.505471,-4.928027,21.986217,5.097856,0.060518,-6.082755,122.799446,48.755245,-44.875885,121.906479,1677.003662,-310.966156,374.605225,1722.605103,-411.331055,537.463135,1766.136963,-198.898773,,,,-0.006982,0.949849,-0.036588,-0.310482,419.482544,1736.638550,-596.794495,-0.135751,1.031484,-0.064211,1.042359,-21.960352,-11.619143,-1.704199,24.903130,1.338576,0.111969,-7.754005,9.858026,-82.378204,-18.246460,563.779846,1765.168945,-654.424194,,,,375.791718,1723.359619,-462.341400,133.091293,1678.214600,-582.015564,342.620422,1653.515747,-661.020569,320.036438,1660.388550,-214.300385,2626.807129,32.609154,1376.483887,2654.927979,53.993942,1305.999512,2659.277344,39.553196,1333.822998,2455.659668,133.414352,1465.873047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.823120,762.527039,-78.853363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.637604,1299.153442,-400.083221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
503,4.191667,-0.056612,0.998208,0.019189,-0.002648,332.807800,1725.539917,-281.842621,-0.116880,0.496758,-0.003750,0.510336,-10.063476,-9.667965,-4.013525,14.520725,5.352413,0.915942,-5.274394,30.546854,102.650841,97.003319,124.570656,1671.330078,-307.990479,373.785126,1723.102417,-412.105103,533.657959,1783.175049,-201.091019,,,,-0.039833,0.949879,-0.025713,-0.309002,418.419128,1744.620117,-596.076172,-0.222107,0.960791,-0.042920,0.987063,-10.362744,-8.483197,2.554981,13.633746,-0.028831,-0.646466,-8.287970,-164.088837,-91.012268,-64.075752,560.020142,1783.280640,-652.353882,,,,375.962402,1723.462280,-461.820129,136.264847,1669.934326,-584.565735,338.974884,1671.261353,-666.066284,315.992035,1676.584717,-210.710251,2626.747803,32.577705,1376.519287,2654.924561,53.953255,1305.955078,2659.296143,39.593998,1333.897339,2455.709961,133.410309,1465.889160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.984863,762.607971,-79.104477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.156158,1298.788208,-400.687683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,4.200000,-0.076312,0.997003,-0.010008,-0.007794,332.853363,1731.983521,-282.153595,-0.127599,0.501958,-0.019775,0.518300,-1.286279,0.624021,-1.923047,2.396252,6.933093,1.721559,-4.694649,189.681519,96.674057,69.569374,126.805206,1668.157715,-303.297668,373.387512,1723.490112,-412.788116,531.509094,1802.168335,-206.207581,,,,-0.070895,0.950426,-0.012517,-0.302501,417.568848,1753.961670,-594.311096,-0.233438,0.955005,0.014524,0.983229,-1.359667,-0.694334,6.893261,7.060301,-0.646140,-1.840812,-8.015892,-74.077110,-143.321487,32.649307,557.100769,1802.186890,-647.557983,,,,374.968414,1724.545654,-460.974030,140.016373,1664.758057,-589.599060,335.828949,1691.363647,-670.338928,312.881012,1695.861206,-207.581314,2627.821289,37.386848,1374.981812,2654.922607,53.977791,1305.952759,2659.343506,39.670948,1333.847778,2455.732422,133.378143,1465.868408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.099487,762.478882,-79.161026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.687012,1298.509033,-400.585693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.351837,1335.040894,-466.529663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
505,4.208333,-0.093164,0.994635,-0.043003,-0.013110,333.303558,1739.625732,-283.411377,-0.083833,0.584253,-0.040635,0.591634,5.251904,9.875392,-2.503125,11.461740,7.836757,1.840636,-4.027770,108.439743,14.289207,80.025497,129.676682,1667.588013,-298.883270,373.423187,1723.883301,-413.294495,529.642517,1821.371460,-213.813751,,,,-0.101203,0.949981,0.008359,-0.295338,416.901855,1764.287231,-591.433777,-0.198633,1.005820,0.107908,1.030909,4.176562,6.097855,11.206055,13.423977,-2.438823,-2.048373,-8.417121,-215.121887,-24.907377,-48.147465,553.892212,1821.589722,-640.392883,,,,374.568207,1725.070190,-460.107269,144.315765,1662.869751,-595.266113,333.213379,1712.056152,-672.421265,311.078705,1715.437866,-205.835022,2627.944824,37.449272,1374.940796,2654.927002,53.945431,1305.954102,2659.364502,39.615753,1333.857422,2455.692627,133.338821,1465.856689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.711731,762.533691,-79.227348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.613617,1298.804077,-400.453064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.522598,1318.667603,-472.099396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506,4.216667,-0.108821,0.990953,-0.076532,-0.017703,333.441040,1747.474121,-285.280518,-0.027719,0.700283,-0.081211,0.705521,6.733740,13.923633,-4.869141,16.214787,7.990280,1.696403,-3.762645,18.422697,-17.307972,31.815002,132.126755,1667.981079,-294.879944,373.406036,1724.211548,-414.037079,527.555115,1840.154907,-222.280319,,,,-0.131376,0.948004,0.028832,-0.288440,415.872803,1774.158325,-587.755615,-0.152765,1.071445,0.209253,1.102324,5.504150,7.874994,12.161426,15.498757,-2.366196,-1.869753,-8.394189,8.715219,21.434467,2.751846,550.590088,1840.445679,-632.095093,,,,374.422729,1725.428833,-459.199829,148.130066,1660.866943,-600.110107,330.539276,1731.383545,-672.397278,308.923737,1732.895508,-206.770554,2627.918457,37.415760,1374.982544,2654.924072,53.954708,1305.974487,2659.312988,39.650890,1333.946655,2455.730713,133.398087,1465.875122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.131714,762.565796,-79.033455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.642151,1298.803345,-400.478546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
507,4.225000,-0.123988,0.986065,-0.109098,-0.020018,332.741089,1754.722778,-287.939392,-0.016084,0.810498,-0.145320,0.823580,1.396142,13.225779,-7.693067,15.364039,7.840718,1.143580,-3.639781,-17.947426,-66.338737,14.743623,133.832840,1668.322632,-292.033112,373.708954,1724.402100,-415.105774,523.829712,1857.526367,-231.251541,,,,-0.161682,0.944002,0.049162,-0.283377,414.132874,1783.101685,-583.952576,-0.128390,1.115112,0.308203,1.164023,2.925001,5.240035,11.874022,13.304360,-2.396070,-1.306414,-8.465687,-3.584919,67.600632,-8.579750,545.655457,1857.971924,-623.720520,,,,374.821991,1725.217285,-458.550568,151.924255,1658.414673,-604.223450,327.772644,1747.497559,-670.493896,306.445892,1750.054321,-209.963013,2626.842041,32.617550,1376.443237,2654.932373,54.003014,1305.993774,2659.302246,39.611061,1333.908081,2455.673828,133.399933,1465.847778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.737366,762.570190,-79.148178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.664612,1298.892334,-400.418610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
508,4.233333,-0.140203,0.980111,-0.138931,-0.020601,330.749237,1761.093628,-290.813263,-0.049402,0.853257,-0.215295,0.881385,-3.998144,5.131058,-8.397070,10.621850,7.277928,0.629962,-3.887198,-67.534729,-61.634121,-29.690035,135.119354,1667.917114,-289.906097,373.242828,1724.626465,-416.088104,517.754089,1873.558716,-240.007416,,,,-0.190867,0.938405,0.067243,-0.280078,410.997009,1791.681274,-580.269592,-0.178132,1.129483,0.379358,1.204730,-5.969091,1.724424,8.538576,10.559875,-2.049858,-0.724260,-8.099648,41.545513,69.858475,43.924709,538.299133,1874.292236,-616.099304,,,,374.625580,1725.453979,-457.693939,155.313873,1656.571533,-607.590088,323.562500,1760.322876,-667.073425,302.417450,1763.690063,-214.141983,2626.868652,32.645702,1376.410034,2654.940186,53.972042,1306.019165,2659.290283,39.709179,1333.922607,2455.709961,133.377106,1465.882324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.360107,762.860596,-78.834991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.534149,1299.047363,-400.179260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,4.241667,-0.154840,0.973542,-0.166885,-0.019728,328.207245,1766.808472,-294.002167,-0.111508,0.835811,-0.284370,0.889876,-7.452685,-2.093554,-8.288964,11.341623,6.897430,0.279714,-3.497279,-45.659805,-42.029793,46.790283,135.581848,1667.621704,-288.653717,372.695831,1724.785156,-416.993927,511.189209,1887.866333,-248.699921,,,,-0.217608,0.932035,0.084107,-0.277280,406.493622,1799.485962,-576.271545,-0.265803,1.092583,0.432949,1.204921,-10.520510,-4.427934,6.430957,13.101333,-1.975619,-0.543022,-7.494449,8.908668,21.748558,72.623802,529.887695,1889.145386,-608.412170,,,,373.061066,1725.571899,-456.582642,157.136353,1655.328003,-610.209534,318.051605,1771.183716,-662.576721,297.160645,1775.076294,-218.933807,2627.928711,37.385303,1374.931519,2654.935547,53.993935,1305.965576,2659.301758,39.631527,1333.912476,2455.645752,133.412292,1465.885620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.543152,762.313293,-79.195442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.641388,1298.929565,-400.350372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510,4.250000,-0.169475,0.965554,-0.196541,-0.018844,324.941925,1772.688599,-298.079498,-0.200680,0.793521,-0.352031,0.890996,-10.700684,-5.074811,-8.119336,14.359037,7.352770,0.347174,-3.541167,54.640842,8.095193,-5.266571,135.762436,1667.823608,-287.823761,371.374878,1724.797607,-418.107666,503.646912,1902.174927,-259.152161,,,,-0.244667,0.924051,0.103482,-0.274879,401.795685,1807.092651,-571.412659,-0.362549,1.027310,0.480513,1.190672,-11.609469,-7.832808,5.707615,15.123146,-2.569682,-0.471455,-7.808987,-71.287544,8.588061,-37.744499,521.208374,1903.649414,-599.082703,,,,372.368256,1725.562744,-455.516571,158.303391,1654.263184,-612.554993,312.313660,1781.610718,-658.342834,292.725372,1786.071045,-224.264374,2627.795166,37.387878,1375.003906,2654.934814,53.969685,1305.986206,2659.347412,39.659790,1333.875977,2455.708496,133.392456,1465.865845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.558899,762.328125,-79.250694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.349518,1299.220215,-400.642792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
511,4.258333,-0.181282,0.956322,-0.228604,-0.018024,321.629303,1779.219971,-302.650757,-0.283484,0.761880,-0.416887,0.913575,-9.936474,-3.796870,-7.782715,13.180304,7.953883,0.599027,-2.928516,72.133537,30.222353,73.518127,135.436981,1670.071899,-286.939117,370.134918,1724.840698,-418.998657,496.484253,1915.948486,-270.962769,,,,-0.272253,0.915249,0.123316,-0.270170,397.320129,1814.964722,-565.581970,-0.445265,0.979365,0.532163,1.200256,-9.925929,-5.753324,6.198045,13.039960,-2.521210,-0.943338,-8.061807,5.816631,-56.625984,-30.338400,512.310730,1917.970215,-587.729553,307.770782,1791.659546,-652.967590,371.056488,1725.645020,-454.800964,161.272186,1654.529541,-615.076721,,,,289.200470,1795.943970,-229.542389,2627.885498,37.413994,1374.952759,2654.919922,53.992542,1305.999023,2659.290771,39.596611,1333.930908,2455.722656,133.421875,1465.904053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.094849,762.139648,-79.431717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.796051,1298.759155,-400.319794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,4.266667,-0.191546,0.945087,-0.264301,-0.016301,318.677765,1786.152344,-308.021362,-0.337518,0.754321,-0.481967,0.956667,-6.484133,-0.907030,-7.809523,10.190944,8.931016,0.643273,-2.596409,117.255928,5.309522,39.852875,134.689423,1673.309082,-286.291016,370.274048,1725.226440,-419.401611,489.734924,1929.195068,-284.812500,,,,-0.295406,0.907509,0.139776,-0.263868,392.642487,1821.130005,-558.745300,-0.515768,0.912671,0.604973,1.210362,-8.460348,-8.003325,8.737213,14.559175,-1.932107,-1.272886,-6.846318,70.692398,-39.545666,145.858612,503.458130,1931.063477,-574.350464,303.645630,1801.867798,-647.034973,370.014404,1725.823853,-454.178558,161.923279,1657.560669,-616.972961,,,,285.534851,1806.124023,-235.716980,2627.899414,37.450779,1374.939331,2654.930908,53.962906,1306.012573,2659.321533,39.648125,1333.947388,2455.593750,133.417099,1465.867310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.393311,762.289978,-79.447243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.607513,1298.566528,-400.534454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
513,4.275000,-0.200142,0.932226,-0.301204,-0.013176,315.568634,1792.693359,-314.473480,-0.364336,0.758379,-0.567847,1.015051,-3.218114,0.486910,-10.305615,10.807362,9.366008,0.492814,-2.198798,52.199017,-18.055014,47.713276,134.005661,1677.129639,-287.135193,369.974823,1724.836548,-419.981262,483.156342,1941.461060,-299.692078,,,,-0.316936,0.897517,0.164774,-0.258581,387.932770,1828.501343,-551.230896,-0.553546,0.883696,0.696929,1.254210,-4.533405,-3.476951,11.034664,12.425971,-4.042171,-1.569127,-7.159600,-253.207779,-35.548939,-37.593781,495.033691,1942.882446,-559.982544,300.000305,1812.117798,-640.812439,368.771149,1725.941284,-453.061859,161.268753,1661.820679,-618.247742,,,,282.394043,1816.811157,-242.499405,2626.704102,32.549835,1376.523682,2654.923340,54.016903,1306.032715,2659.319824,39.678524,1333.922974,2455.637695,133.419006,1465.907715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.019531,762.543762,-79.306900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.241364,1298.551270,-400.167572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,4.283333,-0.207489,0.918995,-0.335181,-0.007078,311.673889,1798.466797,-321.306213,-0.396801,0.759800,-0.655294,1.078961,-3.895751,0.170510,-10.493702,11.194808,8.876627,-0.221442,-1.731691,-58.725697,-85.710716,56.052887,132.026917,1680.312866,-289.718384,369.595154,1724.977173,-420.590332,475.933502,1952.193359,-313.665649,,,,-0.340153,0.884034,0.191296,-0.257265,382.561310,1835.467407,-543.680847,-0.574373,0.863555,0.782175,1.299011,-2.499168,-2.416992,10.229587,10.804264,-4.706251,-0.546182,-7.726443,-79.689552,122.753326,-68.021217,485.056732,1954.563843,-545.392151,294.801147,1821.250610,-634.434448,368.856506,1725.896362,-452.636871,160.135895,1665.455566,-617.586182,,,,278.482758,1825.588379,-249.662888,2626.718018,32.579288,1376.489746,2654.907715,53.964024,1305.913940,2659.322510,39.647224,1333.954956,2455.656494,133.403900,1465.892212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.839844,762.525940,-79.311638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.533783,1299.285522,-400.580719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,4.291667,-0.213575,0.906410,-0.364423,0.001621,307.530334,1802.737427,-327.633331,-0.417880,0.721172,-0.709296,1.094446,-2.529491,-4.635350,-6.480174,8.359273,7.907012,-0.930888,-1.219580,-116.353737,-85.133598,61.453281,129.723114,1682.331177,-293.375275,369.426025,1725.101562,-420.942474,468.257141,1960.435669,-325.304993,,,,-0.362814,0.868292,0.214133,-0.261883,376.313354,1840.666748,-537.333374,-0.611576,0.805781,0.817910,1.300879,-4.464405,-6.932809,4.288187,9.294261,-4.546995,1.128208,-7.292678,19.110716,200.926819,52.051788,473.382874,1964.328491,-534.428955,287.735870,1827.392456,-627.584534,369.694092,1725.319580,-452.000092,158.474091,1666.265137,-615.313110,,,,273.074036,1832.545776,-257.214661,2627.813477,37.404911,1374.965088,2654.931885,53.964336,1305.997681,2659.305420,39.598675,1333.982910,2455.643311,133.392258,1465.907227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828.761292,762.492981,-79.077408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.773712,1298.627686,-400.593353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,4.300000,-0.218827,0.895624,-0.387047,0.012949,303.520294,1805.519653,-333.074402,-0.434612,0.631201,-0.730166,1.058511,-2.007862,-10.796484,-2.504439,11.263560,6.444314,-1.768398,-0.713681,-175.523743,-100.501144,60.707863,127.579430,1682.603516,-298.221283,369.311310,1725.137695,-421.158936,460.860016,1967.067505,-333.541748,,,,-0.379350,0.853349,0.232128,-0.272039,369.778961,1843.959595,-532.882874,-0.660989,0.695874,0.784783,1.239771,-5.929541,-13.188871,-3.975291,14.996957,-4.363545,2.338726,-5.356935,22.013968,145.262146,232.289246,462.934845,1970.670410,-528.280273,278.756836,1831.671875,-620.519165,369.668518,1725.325928,-451.884613,155.529297,1664.545654,-611.177490,,,,266.040924,1838.050049,-265.261780,2627.859619,37.450382,1374.959839,2654.904785,54.002480,1305.951538,2659.291748,39.563774,1333.984497,2455.569580,133.404175,1465.882568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.185120,762.595703,-78.959846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.623810,1298.898804,-400.365906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
517,4.308333,-0.222891,0.886307,-0.405294,0.022703,299.973724,1806.956787,-337.641815,-0.448898,0.499307,-0.710889,0.977844,-1.714307,-15.827346,2.313280,16.087107,5.287720,-1.545056,-0.513514,-138.791367,26.801088,24.020111,125.371895,1681.842896,-302.339752,369.182251,1725.025269,-421.141479,454.518036,1971.266968,-340.546326,,,,-0.391504,0.838712,0.249800,-0.284405,363.426147,1845.498047,-528.821899,-0.701191,0.584839,0.718162,1.161664,-4.824314,-13.324220,-7.994534,16.270262,-4.767766,2.556752,-4.287482,-48.506523,26.163137,128.334274,454.012115,1974.703247,-523.882996,269.019073,1834.944702,-612.705627,368.643768,1723.822876,-451.850922,152.053284,1661.711914,-605.733948,,,,258.894928,1842.719604,-273.694580,2627.826172,37.434990,1374.953491,2654.911621,54.035141,1305.958862,2659.333496,39.585690,1334.039062,2455.606934,133.420502,1465.868530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.311646,762.687683,-78.906387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.398224,1298.900879,-400.642578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
